Year,Fieldwork date,Polling firm,Sample size,FdI,PD,M5S,Lega,FI,A,IV,AVS,+E,PTD,NM,ScN [ ay ],Others,Lead
2024,3– 8 Jul,SWG,"1,200",29.2,23.3,10.6,8.4,8.5,3.4,2.1,7.0,1.9,1.7,1.1,1.0,1.8,5.9
2024,4– 5 Jul,Tecnè,"1,000",28.7,24.6,9.6,8.7,10.0,3.2,1.9,6.7,2.0,2.1,,,2.5,4.1
2024,3– 4 Jul,Termometro Politico,"3,300",29.3,24.2,9.5,8.9,9.6,3.3,1.9,7.1,1.5,2.0,,0.9,1.8,5.1
2024,26 Jun – 1 Jul,SWG,"1,200",29.0,23.6,10.3,8.7,8.5,3.5,1.9,7.0,2.0,1.7,1.0,1.1,1.7,5.4
2024,27– 28 Jun,Tecnè,"1,000",28.8,24.5,9.6,8.8,9.8,3.4,1.7,6.8,2.1,2.2,,,2.3,4.3
2024,26– 27 Jun,Termometro Politico,"3,200",29.6,24.2,9.4,8.7,9.6,3.1,2.0,7.2,1.5,2.1,,1.1,1.5,5.4
2024,26 Jun,Euromedia,"1,000",29.0,24.0,9.7,9.0,9.2,3.4,3.1,6.6,1.6,1.7,0.5,1.2,1.0,5.0
2024,25– 27 Jun,Quorum,805,29.2,24.0,9.6,8.1,9.0,3.7,2.1,6.8,2.0,2.5,,0.6,2.4,5.2
2024,25– 27 Jun,Ipsos,"1,000",28.1,22.8,12.5,8.8,8.5,2.5,2.5,6.2,1.5,,,1.1,5.5,5.3
2024,24– 25 Jun,Demopolis,"2,000",29.0,25.0,10.2,8.7,9.3,3.2,2.0,6.5,,,,,6.1,4.0
2024,19– 24 Jun,SWG,"1,200",29.0,23.5,10.0,8.8,8.7,3.4,1.7,7.1,2.2,2.0,1.0,1.2,1.4,5.5
2024,20– 21 Jun,Tecnè,"1,000",29.0,24.3,9.7,8.9,9.8,3.3,1.8,6.9,2.0,2.1,,,,4.7
2024,12– 17 Jun,SWG,"1,200",28.6,23.8,9.7,8.8,9.0,3.6,1.8,6.9,2.1,2.3,1.0,1.1,1.3,4.8
2024,12– 13 Jun,Termometro Politico,"3,500",29.4,24.4,9.6,8.6,9.8,3.2,2.0,7.1,1.6,2.0,,1.0,1.3,5.0
2024,22– 23 May,Demopolis,,27.0,22.0,14.5,8.8,8.7,4.2,3.7,4.3,2.2,,2.8,0.5,1.3,5.0
2024,22– 23 May,BiDiMedia,810,26.8,21.4,15.0,9.4,8.4,4.5,3.9,4.5,2.0,,2.5,0.5,1.1,5.5
2024,22– 23 May,Termometro Politico,"3,900",26.8,19.6,15.7,9.0,8.5,4.5,3.9,4.0,2.5,,1.8,1.0,2.7,7.2
2024,21– 22 May,Eumetra,800,27.1,21.0,16.2,8.7,8.9,4.5,3.8,4.2,2.2,,2.0,,1.4,6.1
2024,21– 22 May,Quorum,"1,604",27.2,20.3,15.9,9.0,8.5,4.1,3.9,4.9,1.9,,0.9,0.5,2.9,6.9
2024,21 May,Ipsos,"1,000",26.5,22.5,15.4,8.6,9.2,4.1,4.6,4.6,2.0,,0.7,0.9,1.6,4.0
2024,19– 23 May,EMG,"2,000",26.9,20.9,15.7,9.3,7.9,4.5,3.7,4.2,,,,,7.1,6.0
2024,19– 21 May,Cluster17,"1,051",26.9,20.8,15.5,8.7,8.2,4.6,3.7,4.3,2.2,1.0,2.2,0.6,1.3,6.1
2024,19– 20 May,BiDiMedia,"1,190",27.1,21.2,15.2,9.1,8.3,4.6,4.0,4.4,2.0,,2.5,,1.6,5.9
2024,20– 23 May,Ixè,"1,000",26.3,20.9,15.5,8.3,8.8,4.0,4.0,4.1,2.3,,2.2,,3.6,5.4
2024,19– 20 May,Tecnè,,26.8,20.8,16.0,8.1,9.9,4.6,4.0,4.2,1.6,,2.0,,2.0,6.0
2024,19 May,Lab2101,,27.7,19.5,15.9,9.3,7.8,4.8,4.0,4.4,,,3.3,,3.3,7.7
